"SIGLA_STRUMENTO","TIPO_VALORE","FLAG_VALORE","DESCRIZIONE_FLAG"
"P","-9999","P00","dato mancante (»)"
"P",">0","P00","normale"
"P","0","P00","""-"" precipitazione nulla"
"P",">0","P01","neve (*)"
"P",">0","P02","incerto (?)"
"P",">0","P03","singolo interpolato ([] oppure { )"
"P",">0","P04","neve e incerto (*?)"
"P",">0","P05","neve e cumulato/interpolato (*[] oppure *{, anche per *.)"
"P","-9999","P10","inizio cumulato/interpolato - fine a flag P20"
"P",">0","P20","fine cumulato/interpolato - inizio a flag P10"
"P","-9999","P11","inizio cumulato/interpolato in caso di pioggia mista neve - fine a flag P21"
"P",">0","P21","fine cumulato/interpolato in caso di pioggia mista neve - inizio a flag P11"
"P","-9999","P12","inizio cumulato/interpolato in caso di valore incerto - fine a flag P22"
"P",">0","P22","fine cumulato/interpolato in caso di valore incerto - inizio a flag P12"
"P","-9999","P13","inizio cumulato/interpolato - fine a flag P23"
"P",">0","P23","fine cumulato/interpolato - inizio a flag P13"
"P","-9999","P14","inizio cumulato/interpolato in caso di neve e incerto - fine a flag P24"
"P",">0","P24","fine cumulato/interpolato in caso di neve e incerto  - inizio a flag P14"
"P","-9999","P0F","fioc, fiocchi di neve precipitazione non misurabile"
"P",">0; -9999","P1F","in caso di unico valore seguito da ""n"": significa che la neve non e' stata misurata, inserire il valore riportato e qual = 1F, se ci sono valori cumulati al solito -9999 e 1F e all'ultimo giorno inserire valore e qual =  2F"
"P",">0","P2F","fine cumulato/interpolato periodo con neve - inizio a flag 1F"
"P","-9999","P0G","g, goc., gocce"
"P","-9999","P0L","gocce e incerto (g?, goc.?, gocce?)"
"P",">0","P0M","precipitazione nevosa mista ad acqua (*..)"
"P","-9999;0;>0","P*_EC","corretto da ERRATA CORRIGE; in caso di etichetta preesistente si aggiunge ""-EC"""
"T","-9999","T00","dato mancante (»)"
"T","<> -9999","T00","normale"
"T","<> -9999","T02","dato incerto (?)"
"T","<> -9999","T03","dato interpolato ([])"
"T","<> -9999","T0R","Valore ricostruito/corretto"
