"SIGLA_STRUMENTO","TIPO_GRANDEZZA","SAMPLE_MEDIUM","GRANDEZZA","INTERPOLATION_TYPE","AGGREGATION_PERIOD","DESCRIZIONE_GRANDEZZA"
"P","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","Air","PG09","http://www.opengis.net/def/waterml/2.0/interpolationType/TotalPrec","P1D","Pioggia cumulata caduta tra le ore 9 del giorno precedente e le 9 del giorno in cui si riporta il dato"
"P","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/212","Air","PH01","http://www.opengis.net/def/waterml/2.0/interpolationType/TotalSucc","PT1H","Valore massimo annuale di pioggia caduta in un intervallo di tempo pari a 1 ora - la data si riferisce al giorno di inizio dell'intervallo"
"P","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/212","Air","PH03","http://www.opengis.net/def/waterml/2.0/interpolationType/TotalSucc","PT3H","Valore massimo annuale di pioggia caduta in un intervallo di tempo pari a 3 ore - la data si riferisce al giorno di inizio dell'intervallo"
"P","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/212","Air","PH06","http://www.opengis.net/def/waterml/2.0/interpolationType/TotalSucc","PT6H","Valore massimo annuale di pioggia caduta in un intervallo di tempo pari a 6 ore - la data si riferisce al giorno di inizio dell'intervallo"
"P","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/212","Air","PH12","http://www.opengis.net/def/waterml/2.0/interpolationType/TotalSucc","PT12H","Valore massimo annuale di pioggia caduta in un intervallo di tempo pari a 12 ore - la data si riferisce al giorno di inizio dell'intervallo"
"P","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/212","Air","PH24","http://www.opengis.net/def/waterml/2.0/interpolationType/TotalSucc","P1D","Valore massimo annuale di pioggia caduta in un intervallo di tempo pari a 24 ore - la data si riferisce al giorno di inizio dell'intervallo"
"T","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/224","Air","TGMIN09","http://www.opengis.net/def/waterml/2.0/interpolationType/MinPrec","P1D","Temperatura minima giornaliera registrata tra le ore 9 del giorno precedente e le 9 del giorno in cui si riporta il dato"
"T","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/224","Air","TGMAX09","http://www.opengis.net/def/waterml/2.0/interpolationType/MaxPrec","P1D","Temperatura massima giornaliera registrata tra le ore 9 del giorno precedente e le 9 del giorno in cui si riporta il dato"
"T","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/224","Air","TGMIN24","http://www.opengis.net/def/waterml/2.0/interpolationType/MinSucc","P1D","Temperatura minima giornaliera registrata tra le ore 00 e le ore 24 del giorno in cui si riporta il dato"
"T","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/224","Air","TGMAX24","http://www.opengis.net/def/waterml/2.0/interpolationType/MaxSucc","P1D","Temperatura massima giornaliera registrata tra le ore 00 e le ore 24 del giorno in cui si riporta il dato"
"H","http://codes.wmo.int/wmdr/ObservedVariableTerrestrial/172","SurfaceWater","HG12","http://www.opengis.net/def/waterml/2.0/interpolationType/Continuous","P1D","Altezza idrometrica meridiana, ovvero registrata alle ore 12:00 del giorno in cui si riporta il dato"
"Q","http://codes.wmo.int/wmdr/ObservedVariableTerrestrial/171","SurfaceWater","QG24","http://www.opengis.net/def/waterml/2.0/interpolationType/AverageSucc","P1D","Portata media giornaliera"
